"UF";"Mês/Ano";"Valor Transferido";
"RJ";"08/2019";"159.884.423,00";
"RR";"08/2019";"10.159.867,00";
"AC";"08/2019";"24.189.761,00";
"RO";"08/2019";"11.912.886,00";
"PI";"08/2019";"94.850.147,00";
"GO";"08/2019";"46.989.923,00";
"SP";"08/2019";"257.953.335,00";
"AM";"08/2019";"92.694.581,00";
"MS";"08/2019";"22.106.364,00";
"PR";"08/2019";"59.353.582,00";
"AL";"08/2019";"78.107.059,00";
"RS";"08/2019";"60.327.722,00";
"PB";"08/2019";"104.292.143,00";
"MA";"08/2019";"206.745.437,00";
"SE";"08/2019";"49.253.959,00";
"MT";"08/2019";"25.949.288,00";
"MG";"08/2019";"186.311.135,00";
"RN";"08/2019";"65.906.733,00";
"PA";"08/2019";"194.313.387,00";
"BA";"08/2019";"340.304.795,00";
"CE";"08/2019";"198.303.626,00";
"PE";"08/2019";"214.255.766,00";
"SC";"08/2019";"20.462.631,00";
"TO";"08/2019";"22.054.755,00";
"DF";"09/2019";"12.459.837,00";
"AP";"09/2019";"17.298.246,00";
"SE";"09/2019";"48.716.835,00";
"RR";"09/2019";"9.965.471,00";
"MT";"09/2019";"25.214.010,00";
"RN";"09/2019";"65.075.134,00";
"RO";"09/2019";"11.596.643,00";
"RJ";"09/2019";"156.769.850,00";
"AC";"09/2019";"23.930.990,00";
"PA";"09/2019";"191.451.693,00";
"ES";"09/2019";"30.447.265,00";
"AL";"09/2019";"76.830.145,00";
"GO";"09/2019";"45.702.214,00";
"BA";"09/2019";"335.873.593,00";
"TO";"09/2019";"21.620.381,00";
"PI";"09/2019";"93.852.622,00";
"PE";"09/2019";"212.045.626,00";
"MS";"09/2019";"21.469.358,00";
"AM";"09/2019";"91.668.177,00";
"SC";"09/2019";"19.500.380,00";
"RS";"09/2019";"58.434.451,00";
"MG";"09/2019";"181.725.155,00";
"CE";"09/2019";"195.673.913,00";
"PB";"09/2019";"103.183.796,00";
"MA";"09/2019";"204.422.002,00";
"PR";"09/2019";"57.104.828,00";
"SP";"09/2019";"249.361.227,00";
"DF";"10/2019";"12.583.058,00";
"AP";"10/2019";"17.275.628,00";
"RR";"10/2019";"9.892.802,00";
"RO";"10/2019";"11.552.379,00";
"MS";"10/2019";"21.478.331,00";
"RJ";"10/2019";"157.358.342,00";
"AM";"10/2019";"91.690.712,00";
"CE";"10/2019";"196.188.894,00";
"SE";"10/2019";"48.747.107,00";
"TO";"10/2019";"21.568.000,00";
"MA";"10/2019";"204.240.778,00";
"AC";"10/2019";"24.011.200,00";
"PB";"10/2019";"103.499.173,00";
"GO";"10/2019";"45.789.164,00";
"PA";"10/2019";"191.466.955,00";
"PI";"10/2019";"93.964.950,00";
"ES";"10/2019";"30.471.333,00";
"RS";"10/2019";"58.404.512,00";
"RN";"10/2019";"65.188.333,00";
"PE";"10/2019";"212.366.815,00";
"MT";"10/2019";"25.185.196,00";
"BA";"10/2019";"336.363.640,00";
"SC";"10/2019";"19.527.858,00";
"SP";"10/2019";"249.123.527,00";
"AL";"10/2019";"77.145.611,00";
"MG";"10/2019";"182.053.882,00";
"PR";"10/2019";"57.055.023,00";
"DF";"11/2019";"12.110.463,00";
"RR";"11/2019";"9.737.335,00";
"AC";"11/2019";"23.778.672,00";
"MS";"11/2019";"21.036.205,00";
"AM";"11/2019";"90.121.807,00";
"AP";"11/2019";"17.140.023,00";
"PI";"11/2019";"93.059.538,00";
"TO";"11/2019";"21.212.593,00";
"PR";"11/2019";"55.975.354,00";
"RN";"11/2019";"64.434.084,00";
"PB";"11/2019";"102.396.912,00";
"GO";"11/2019";"44.768.677,00";
"RJ";"11/2019";"153.345.593,00";
"MG";"11/2019";"179.237.536,00";
"RO";"11/2019";"11.137.371,00";
"PE";"11/2019";"210.126.867,00";
"PA";"11/2019";"187.978.171,00";
"MT";"11/2019";"24.709.549,00";
"MA";"11/2019";"201.248.934,00";
"SE";"11/2019";"48.279.674,00";
"AL";"11/2019";"76.039.758,00";
"CE";"11/2019";"194.196.981,00";
"ES";"11/2019";"29.878.861,00";
"SP";"11/2019";"240.167.737,00";
"RS";"11/2019";"57.049.710,00";
"BA";"11/2019";"332.058.293,00";
